user_id,email,password,ho_ten,dia_chi,so_dien_thoai
3,an.nguyen001@load.eshop.vn,MatKhau123!,Nguyễn Văn An,"12 Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",0321000000
5,bich.tran002@load.eshop.vn,MatKhau123!,Trần Thị Bích,"19 Lê Lợi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",0331074519
4,cuong.le003@load.eshop.vn,MatKhau123!,Lê Văn Cường,"26 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TP. Hồ Chí Minh",0341149038
6,dung.pham004@load.eshop.vn,MatKhau123!,Phạm Thị Dung,"33 Cách Mạng Tháng Tám, Phường 11, Quận 3, TP. Hồ Chí Minh",0351223557
12,dat.hoang005@load.eshop.vn,MatKhau123!,Hoàng Văn Đạt,"40 Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",0361298076
7,hanh.huynh006@load.eshop.vn,MatKhau123!,Huỳnh Thị Hạnh,"47 Sư Vạn Hạnh, Phường 12, Quận 10, TP. Hồ Chí Minh",0371372595
8,hung.phan007@load.eshop.vn,MatKhau123!,Phan Văn Hùng,"54 Quang Trung, Phường 10, Quận Gò Vấp, TP. Hồ Chí Minh",0381447114
9,huong.vu008@load.eshop.vn,MatKhau123!,Vũ Thị Hương,"61 Phạm Văn Đồng, Phường Linh Đông, Quận Thủ Đức, TP. Hồ Chí Minh",0391521633
10,khoa.vo009@load.eshop.vn,MatKhau123!,Võ Văn Khoa,"68 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TP. Hồ Chí Minh",0701596152
13,linh.dang010@load.eshop.vn,MatKhau123!,Đặng Thị Linh,"75 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",0761670671
11,nam.bui011@load.eshop.vn,MatKhau123!,Bùi Văn Nam,"82 Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",0771745190
14,nga.do012@load.eshop.vn,MatKhau123!,Đỗ Thị Nga,"89 Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",0781819709
16,phong.ho013@load.eshop.vn,MatKhau123!,Hồ Văn Phong,"96 Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",0791894228
15,nhung.ngo014@load.eshop.vn,MatKhau123!,Ngô Thị Nhung,"103 Bà Triệu, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",0811968747
20,quan.duong015@load.eshop.vn,MatKhau123!,Dương Văn Quân,"110 Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội",0822043266
21,phuong.ly016@load.eshop.vn,MatKhau123!,Lý Thị Phương,"117 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",0832117785
17,tai.dinh017@load.eshop.vn,MatKhau123!,Đinh Văn Tài,"124 Lê Duẩn, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",0842192304
23,thao.truong018@load.eshop.vn,MatKhau123!,Trương Thị Thảo,"131 Nguyễn Tất Thành, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",0852266823
24,tien.mai019@load.eshop.vn,MatKhau123!,Mai Văn Tiến,"138 Trần Hưng Đạo, Phường Vĩnh Ninh, TP. Huế, Thừa Thiên Huế",0862341342
18,uyen.chu020@load.eshop.vn,MatKhau123!,Chu Thị Uyên,"145 Nguyễn Văn Cừ, Phường An Bình, TP. Biên Hòa, Đồng Nai",0882415861
19,tuan.nguyen021@load.eshop.vn,MatKhau123!,Nguyễn Hữu Tuấn,"152 Hùng Vương, Phường 1, TP. Vũng Tàu, Bà Rịa - Vũng Tàu",0902490380
22,yen.tran022@load.eshop.vn,MatKhau123!,Trần Thanh Yến,"159 Trần Phú, Phường Lộc Thọ, TP. Nha Trang, Khánh Hòa",0912564899
25,kien.le023@load.eshop.vn,MatKhau123!,Lê Hữu Kiên,"166 Nguyễn Huệ, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ",0932639418
31,diem.pham024@load.eshop.vn,MatKhau123!,Phạm Thanh Diễm,"173 Hai Bà Trưng, Phường 6, TP. Đà Lạt, Lâm Đồng",0942713937
26,an.hoang025@load.eshop.vn,MatKhau123!,Hoàng Hữu An,"180 Nguyễn Văn Cừ, Phường Cầu Kho, Quận 1, TP. Hồ Chí Minh",0962788456
27,bich.huynh026@load.eshop.vn,MatKhau123!,Huỳnh Thanh Bích,"187 Lê Lợi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",0972862975
28,cuong.phan027@load.eshop.vn,MatKhau123!,Phan Hữu Cường,"194 Điện Biên Phủ, Phường 15, Quận Bình Thạnh, TP. Hồ Chí Minh",0982937494
29,dung.vu028@load.eshop.vn,MatKhau123!,Vũ Thanh Dung,"201 Cách Mạng Tháng Tám, Phường 11, Quận 3, TP. Hồ Chí Minh",0323012013
30,dat.vo029@load.eshop.vn,MatKhau123!,Võ Hữu Đạt,"208 Nguyễn Thị Minh Khai, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh",0333086532
32,hanh.dang030@load.eshop.vn,MatKhau123!,Đặng Thanh Hạnh,"215 Sư Vạn Hạnh, Phường 12, Quận 10, TP. Hồ Chí Minh",0343161051
33,hung.bui031@load.eshop.vn,MatKhau123!,Bùi Hữu Hùng,"222 Quang Trung, Phường 10, Quận Gò Vấp, TP. Hồ Chí Minh",0353235570
35,huong.do032@load.eshop.vn,MatKhau123!,Đỗ Thanh Hương,"229 Phạm Văn Đồng, Phường Linh Đông, Quận Thủ Đức, TP. Hồ Chí Minh",0363310089
34,khoa.ho033@load.eshop.vn,MatKhau123!,Hồ Hữu Khoa,"236 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, TP. Hồ Chí Minh",0373384608
39,linh.ngo034@load.eshop.vn,MatKhau123!,Ngô Thanh Linh,"243 Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",0383459127
38,nam.duong035@load.eshop.vn,MatKhau123!,Dương Hữu Nam,"250 Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",0393533646
36,nga.ly036@load.eshop.vn,MatKhau123!,Lý Thanh Nga,"257 Giải Phóng, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",0703608165
37,phong.dinh037@load.eshop.vn,MatKhau123!,Đinh Hữu Phong,"264 Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",0763682684
43,nhung.truong038@load.eshop.vn,MatKhau123!,Trương Thanh Nhung,"271 Bà Triệu, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",0773757203
41,quan.mai039@load.eshop.vn,MatKhau123!,Mai Hữu Quân,"278 Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội",0783831722
42,phuong.chu040@load.eshop.vn,MatKhau123!,Chu Thanh Phương,"285 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng",0793906241
40,tai.nguyen041@load.eshop.vn,MatKhau123!,Nguyễn Minh Tài,"292 Lê Duẩn, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",0813980760
44,thao.tran042@load.eshop.vn,MatKhau123!,Trần Ngọc Thảo,"299 Nguyễn Tất Thành, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",0824055279
45,tien.le043@load.eshop.vn,MatKhau123!,Lê Minh Tiến,"18 Trần Hưng Đạo, Phường Vĩnh Ninh, TP. Huế, Thừa Thiên Huế",0834129798
